LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-118.2905705,37.1557026,974,WATSON ST,,BIG PINE,,,,,934eb060a75d5cd7
-118.288309,37.1569359,881,HILL ST,,BIG PINE,,,,,59569b9f7530ed85
-118.2883076,37.1566634,935,HILL ST,,BIG PINE,,,,,c6385b329708de3d
-118.2883062,37.156391,937,HILL ST,,BIG PINE,,,,,12007cfe4998cea2
-118.2935131,37.1570719,874,S SCHOOL ST,,BIG PINE,,,,,d610c09c315f0a4f
-118.2935185,37.1564949,932,S SCHOOL ST,,BIG PINE,,,,,2c3b8c93ffd5bcf3
-118.2928673,37.1565327,941,HARRY ST,,BIG PINE,,,,,7669e9218f3fb227
-118.2928741,37.1557023,981,HARRY ST,,BIG PINE,,,,,ae1e57273d34c390
-118.2899338,37.1574062,841,S MAIN ST,,BIG PINE,,,,,ef3ed443bb3e171f
-118.2913976,37.1573973,851,WATSON ST,,BIG PINE,,,,,ab5f3c8d3720be68
-118.2920409,37.1573667,856,HARRY ST,,BIG PINE,,,,,16a82e5ea036f323
-118.2928594,37.1573636,861,HARRY ST,,BIG PINE,,,,,593aec46bd72077c
-118.2874648,37.1571939,860,HILL ST,,BIG PINE,,,,,cffe687000b9034e
-118.2883104,37.1572083,867,HILL ST,,BIG PINE,,,,,018c8444c0a62f95
-118.2844695,37.165111,204,N CRATER ST,,BIG PINE,,,,,12c47ad7ee72993c
-118.2845279,37.1607549,584,N CRATER ST,,BIG PINE,,,,,ccf8d1bcb3267931
-118.2845501,37.1587884,418,BARTELL RD,,BIG PINE,,,,,9b75f94c55535129
-118.2845918,37.1567653,880,S CRATER ST,,BIG PINE,,,,,2e037c2f38272e48
-118.284586,37.1570542,870,S CRATER ST,,BIG PINE,,,,,4bb3ff668d77b960
-118.2846035,37.1561876,950,S CRATER ST,,BIG PINE,,,,,f103d0cca3f0cb25
-118.2846151,37.1556099,990,S CRATER ST,,BIG PINE,,,,,8f69aa8e2db6d8aa
-118.2846247,37.1550323,1020,S CRATER ST,,BIG PINE,,,,,030161d055eb4449
-118.284668,37.1521763,1274,S CRATER ST,,BIG PINE,,,,,1a467be12e75bb0a
-118.2845148,37.1617342,476,N CRATER ST,,BIG PINE,,,,,5ac6f35a2f965244
-118.2845073,37.162297,444,N CRATER ST,,BIG PINE,,,,,d4aee5ed6542d50f
-118.2845035,37.1625784,424,N CRATER ST,,BIG PINE,,,,,5666b39c9fd06a25
-118.2844657,37.1653924,184,N CRATER ST,,BIG PINE,,,,,ea364b187528f05b
-118.2844959,37.1631412,364,N CRATER ST,,BIG PINE,,,,,dfc5ce269d21d8ee
-118.2844884,37.163704,324,N CRATER ST,,BIG PINE,,,,,8993b06f98c52d21
-118.2844846,37.1639854,294,N CRATER ST,,BIG PINE,,,,,b55d4962230bfa03
-118.2844808,37.1642668,274,N CRATER ST,,BIG PINE,,,,,b5e64cdcebaeafa8
-118.2844771,37.1645482,254,N CRATER ST,,BIG PINE,,,,,6b88b6208be1548d
-118.284462,37.1656738,152,N CRATER ST,,BIG PINE,,,,,1b4cd6059fea7a67
-118.2844584,37.1659549,103,N CRATER ST,,BIG PINE,,,,,71ff66eca6d99f81
-118.3775847,37.357963,900,POLETA RD,,BISHOP,,,,,5a6548c71d44ed91
-118.3942686,37.3671657,680,N MAIN ST,,BISHOP,,,,,446b8bcb233bc55d
-118.3946567,37.3545078,640,S MAIN ST,,BISHOP,,,,,08a47c0436629d4d
-118.3978552,37.3563719,300,MANDICH ST,,BISHOP,,,,,19816a825003b691
-118.3946858,37.3575522,466,S MAIN ST,,BISHOP,,,,,dcbc44db4d7cbe28
-118.3954979,37.3579707,455,S MAIN ST,,BISHOP,,,,,426dcbfbe8291cfc
-118.3946402,37.360349,120,SHORT ST,,BISHOP,,,,,9aa1e89c26df9fa0
-118.3906807,37.3603399,330,SHORT ST,,BISHOP,,,,,801cf3ada81d795e
